id,shortname,mktcap,lastvalue,change,percentchange,direction,stk_details,volume,url
BF,Banking/Finance,"3,702,108.03",0,-29832.220620040,-0.80,-1,[],,
IT,Technology,"1,695,009.27",0,-7955.372125785,-0.47,-1,[],,
OG,Oil & Gas,"1,669,423.05",0,-13194.757659030,-0.78,-1,[],,
AU,Automotive,"864,500.92",0,-5102.757108630,-0.59,-1,[],,
CN,Cons Non-Durable,"860,981.53",0,169.273535085,0.02,1,[],,
PH,Pharmaceuticals,"739,374.51",0,15900.982670410,2.20,1,[],,
EC,Engineering,"697,977.12",0,-1152.384562110,-0.16,-1,[],,
MS,Miscellaneous,"693,558.95",0,-10921.688055417,-1.55,-1,[],,
CH,Chemicals,"627,694.65",0,-294.955306530,-0.05,-1,[],,
MM,Metals & Mining,"572,316.30",0,2243.088510415,0.39,1,[],,
FB,Food & Beverage,"452,595.69",0,1076.538025250,0.24,1,[],,
CC,Cement/Construction,"401,968.30",0,-2134.431149990,-0.53,-1,[],,
CG,Conglomerates,"395,386.79",0,-2145.912425975,-0.54,-1,[],,
RE,Retail/Real Estate,"381,045.49",0,3021.507759715,0.80,1,[],,
UL,Utilities,"353,226.18",0,1026.482176180,0.29,1,[],,
TO,Tobacco,"331,964.76",0,-3094.368649025,-0.92,-1,[],,
TC,Telecom,"308,481.86",0,-5560.479384395,-1.77,-1,[],,
SS,Services,"298,653.99",0,-672.816168790,-0.22,-1,[],,
MF,Manufacturing,"285,035.79",0,-1403.848718305,-0.49,-1,[],,
ME,Media,"94,390.15",0,824.564004535,0.88,1,[],,
CD,Cons Durable,"65,176.50",0,-322.178952275,-0.49,-1,[],,
GO,Gold ETF,"2,117.95",0,-12.105168635,-0.57,-1,[],,
ABB,ABB India,"30,439.58","1,436.45",-12.05,-0.83,-1,[],768,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/abbindia/ABB
ACC,ACC,"28,254.47","1,504.60",-10.00,-0.66,-1,[],30.46k,http://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06
MPS,Adani Ports,"79,106.25",389.35,-0.40,-0.10,-1,[],10.16k,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/adaniportsspecialeconomiczone/MPS
GAC,Ambuja Cements,"39,851.90",200.70,-0.90,-0.45,-1,[],19.17k,http://www.moneycontrol.com/india/stockpricequote/cement-major/ambujacements/AC18
AHE,Apollo Hospital,"19,714.04","1,417.00",1.95,0.14,1,[],9.67k,http://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/apollohospitalsenterprises/AHE
AL,Ashok Leyland,"21,957.74",74.80,-0.10,-0.13,-1,[],290.38k,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/ashokleyland/AL
API,Asian Paints,"173,298.26","1,806.70",12.10,0.67,1,[],13.59k,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/asianpaints/AP31
AP,Aurobindo Pharm,"26,414.11",450.80,-22.70,-4.79,-1,[],313.02k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
UTI10,Axis Bank,"205,729.49",729.75,-7.85,-1.06,-1,[],70.07k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16
BA06,Bajaj Auto,"93,668.10","3,237.00",-9.35,-0.29,-1,[],3.22k,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/bajajauto/BA10
BAF,Bajaj Finance,"243,213.43","4,194.10",-35.70,-0.84,-1,[],35.61k,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/bajajfinance/BAF
BF04,Bajaj Finserv,"139,117.82","8,742.00",-101.55,-1.15,-1,[],3.22k,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajfinserv/BF04
BOB,Bank of Baroda,"38,428.81",99.90,-1.95,-1.91,-1,[],614.19k,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofbaroda/BOB
BE03,Bharat Elec,"26,412.67",108.40,-4.10,-3.64,-1,[],260.81k,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03
BFC,Bharat Forge,"21,212.22",455.60,-8.75,-1.88,-1,[],32.28k,http://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03
BTV,Bharti Airtel,"192,705.17",375.50,-8.75,-2.28,-1,[],106.12k,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/bhartiairtel/BA08
BI26,Bharti Infratel,"40,589.65",219.45,-2.65,-1.19,-1,[],82.99k,http://www.moneycontrol.com/india/stockpricequote/telecommunications-equipment/bhartiinfratel/BI14
BHE,BHEL,"19,429.91",55.80,-0.25,-0.45,-1,[],412.54k,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE
BL03,Biocon,"30,612.00",255.10,-0.75,-0.29,-1,[],99.07k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03
MIC,Bosch,"45,466.36","15,415.65",-265.60,-1.69,-1,[],650,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/bosch/B05
BPC,BPCL,"112,237.14",517.40,-0.05,-0.01,-1,[],40.81k,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
BI,Britannia,"77,214.27","3,213.00",-15.80,-0.49,-1,[],2.12k,http://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI
CHC,Cadila Health,"24,595.42",240.25,0.55,0.23,1,[],23.81k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
CB06,Canara Bank,"15,317.23",203.35,-3.40,-1.64,-1,[],112.01k,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/canarabank/CB06
C,Cipla,"38,370.68",476.00,8.40,1.80,1,[],155.72k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
CI29,Coal India,"131,543.44",213.45,2.45,1.16,1,[],85.64k,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/coalindia/CI11
CPI,Colgate,"42,055.78","1,546.25",23.55,1.55,1,[],11.88k,http://www.moneycontrol.com/india/stockpricequote/personal-care/colgatepalmoliveindia/CPI
CCI,Container Corp,"35,138.01",576.70,0.05,0.01,1,[],8.27k,http://www.moneycontrol.com/india/stockpricequote/transport-logistics/containercorporationindia/CCI
CI02,Cummins,"15,067.21",543.55,-2.70,-0.49,-1,[],2.61k,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
DI,Dabur India,"85,296.17",482.70,1.20,0.25,1,[],65.37k,http://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI
DL03,Divis Labs,"44,351.84","1,670.70",-16.50,-0.98,-1,[],14.14k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
D04,DLF,"46,399.72",187.45,3.35,1.82,1,[],395.90k,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/dlf/D04
DRL,Dr Reddys Labs,"47,358.18","2,850.40",35.05,1.24,1,[],14.69k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
EM,Eicher Motors,"57,815.05","21,185.65",-93.85,-0.44,-1,[],829,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/eichermotors/EM
EI,Exide Ind,"16,201.00",190.60,1.85,0.98,1,[],34.87k,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/exideindustries/EI
GAI,GAIL,"61,998.43",136.30,-1.10,-0.80,-1,[],66.12k,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/gailindia/GAI
GP08,Glenmark,"8,696.42",308.20,-9.00,-2.84,-1,[],68.82k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08
